family_a	family_b	best_evalue
RF00818	RF02019	9.8e-05
RF00818	RF03375	0.00071
RF00818	RF03423	9.7e-05
RF00818	RF03450	0.00085
RF00818	RF03457	1e-05
RF00818	RF03489	0.00064
RF00818	RF03573	0.0097
RF00818	RF03588	0.00031
RF00818	RF03629	0.002
RF00818	RF03802	0.00082
RF00818	RF03831	1.1e-05
RF00818	RF04136	0.007
RF00818	RF04140	0.00016
RF00818	RF04299	0.0023
RF00819	RF00851	3.1e-05
RF00819	RF01024	0.00099
RF00819	RF03225	0.0081
RF00819	RF03344	0.0054
RF00819	RF03604	0.00027
RF00819	RF03682	9.3e-06
RF00819	RF04054	0.00061
RF00819	RF04081	0.0062
RF00819	RF04241	0.0015
RF00820	RF00872	0.00027
RF00820	RF03283	9.7e-06
RF00820	RF03987	8.2e-09
RF00820	RF04070	0.0096
RF00821	RF00843	8.6e-05
RF00821	RF00926	0.0005
RF00821	RF00995	0.00018
RF00821	RF01038	0.0057
RF00821	RF01061	6.5e-09
RF00821	RF01494	0.0071
RF00821	RF01612	0.0012
RF00821	RF01667	0.0064
RF00821	RF01900	2e-05
RF00821	RF01902	1.5e-06
RF00821	RF01913	0.00077
RF00821	RF02058	0.0027
RF00821	RF02093	0.0012
RF00821	RF02244	0.00025
RF00821	RF02610	0.0089
RF00821	RF03116	0.0035
RF00821	RF03171	0.0052
RF00821	RF03182	1.1e-06
RF00821	RF03225	5.5e-05
RF00821	RF03246	0.0056
RF00821	RF03362	3.4e-06
RF00821	RF03442	0.0064
RF00821	RF03452	7e-06
RF00821	RF03457	1.5e-11
RF00821	RF03498	9.4e-05
RF00821	RF03501	0.00049
RF00821	RF03530	0.0073
RF00821	RF03556	0.00048
RF00821	RF03598	5e-07
RF00821	RF03604	0.0075
RF00821	RF03616	4.4e-08
RF00821	RF03632	3.1e-05
RF00821	RF03640	0.0069
RF00821	RF03641	0.0022
RF00821	RF03642	1e-05
RF00821	RF03652	5e-05
RF00821	RF03674	0.0015
RF00821	RF03677	2.5e-08
RF00821	RF03697	0.0017
RF00821	RF03709	2e-07
RF00821	RF03729	0.0014
RF00821	RF03743	1.1e-06
RF00821	RF03776	0.00012
RF00821	RF03785	1.1e-06
RF00821	RF03802	1.7e-07
RF00821	RF03812	4.4e-08
RF00821	RF03815	9.2e-05
RF00821	RF03816	0.00056
RF00821	RF03818	4.9e-07
RF00821	RF03839	0.002
RF00821	RF03845	2.8e-06
RF00821	RF03904	0.0035
RF00821	RF03905	8.7e-05
RF00821	RF03921	0.0075
RF00821	RF03926	0.0023
RF00821	RF03927	0.0044
RF00821	RF03942	0.00072
RF00821	RF03951	6.1e-06
RF00821	RF04006	0.00093
RF00821	RF04027	0.0012
RF00821	RF04051	7.7e-07
RF00821	RF04067	5.2e-06
RF00821	RF04071	2.8e-05
RF00821	RF04076	1.7e-05
RF00821	RF04089	0.00039
RF00821	RF04099	0.0001
RF00821	RF04106	2.2e-05
RF00821	RF04111	5.9e-09
RF00821	RF04124	4e-05
RF00821	RF04126	0.00022
RF00821	RF04127	0.00092
RF00821	RF04128	6.9e-05
RF00821	RF04133	6.7e-06
RF00821	RF04139	0.0067
RF00821	RF04147	0.002
RF00821	RF04156	0.0094
RF00821	RF04168	4.4e-06
RF00821	RF04186	0.00032
RF00821	RF04199	0.0011
RF00821	RF04202	1.6e-05
RF00821	RF04205	9.3e-05
RF00821	RF04209	0.0016
RF00821	RF04211	6.8e-05
RF00821	RF04239	0.0079
RF00821	RF04251	0.0015
RF00821	RF04252	3.3e-08
RF00821	RF04255	2.1e-05
RF00821	RF04275	9.4e-05
RF00821	RF04282	0.00013
RF00821	RF04295	0.00035
RF00821	RF04302	3.6e-05
RF00822	RF00853	1.8e-06
RF00822	RF03328	2.7e-05
RF00822	RF03374	1.3e-05
RF00822	RF03394	0.0013
RF00822	RF03504	0.00044
RF00822	RF03831	0.0064
RF00822	RF03862	0.00063
RF00822	RF03882	0.0011
RF00822	RF04019	0.0032
RF00822	RF04069	1.8e-07
RF00822	RF04111	1.2e-05
RF00822	RF04120	0.0013
RF00822	RF04152	0.0016
RF00822	RF04261	7e-06
RF00823	RF00901	0.0058
RF00823	RF00956	4.5e-05
RF00823	RF01024	0.00059
RF00823	RF01238	4.5e-07
RF00823	RF01503	7.5e-05
RF00823	RF02600	0.0099
RF00823	RF03284	0.00017
RF00823	RF03345	1.4e-05
RF00823	RF03501	0.0011
RF00823	RF03569	3e-06
RF00823	RF03598	5.2e-05
RF00823	RF03601	0.0026
RF00823	RF03802	0.0092
RF00823	RF03831	1.9e-05
RF00823	RF03951	0.0057
RF00823	RF03979	0.00061
RF00823	RF04050	0.0039
RF00823	RF04070	0.00024
RF00823	RF04076	0.00024
RF00823	RF04089	7.3e-07
RF00823	RF04108	0.00059
RF00823	RF04111	0.00024
RF00823	RF04138	0.0021
RF00823	RF04172	0.00056
RF00823	RF04230	0.0028
RF00823	RF04246	0.0023
RF00823	RF04262	3.1e-06
RF00824	RF03590	0.0026
RF00824	RF03634	0.0032
RF00824	RF03669	1.3e-05
RF00824	RF03704	0.00022
RF00824	RF03818	0.00075
RF00824	RF03912	0.00079
RF00824	RF03986	0.00053
RF00824	RF03987	0.0045
RF00824	RF04145	0.00097
RF00824	RF04242	0.0013
RF00825	RF00928	0.0052
RF00825	RF00996	0.0075
RF00825	RF03193	0.0042
RF00825	RF03418	0.0027
RF00825	RF03652	0.00091
RF00825	RF03754	0.00018
RF00825	RF03888	0.0034
RF00825	RF04066	0.0018
RF00825	RF04067	0.0006
RF00825	RF04247	0.00012
RF00826	RF02214	0.0027
RF00826	RF02520	0.0041
RF00826	RF03216	0.0026
RF00826	RF03323	0.0039
RF00826	RF03457	0.00046
RF00826	RF03594	5.9e-05
RF00826	RF03604	0.004
RF00826	RF04082	7.9e-05
RF00826	RF04255	9.5e-08
RF00826	RF04268	0.00032
RF00826	RF04279	0.00077
RF00826	RF04300	6e-05
RF00827	RF00845	0.00074
RF00827	RF00877	4.5e-05
RF00827	RF00904	0.0039
RF00827	RF00914	1.4e-05
RF00827	RF00939	1.7e-05
RF00827	RF00969	1.2e-05
RF00827	RF00983	3.3e-05
RF00827	RF01011	9.6e-06
RF00827	RF01013	1e-05
RF00827	RF03172	0.0028
RF00827	RF03187	0.0043
RF00827	RF03201	0.00059
RF00827	RF03240	0.00025
RF00827	RF03325	0.0019
RF00827	RF03328	7.2e-11
RF00827	RF03345	9.1e-06
RF00827	RF03356	4.4e-05
RF00827	RF03495	0.00039
RF00827	RF03516	1.1e-05
RF00827	RF03550	0.00049
RF00827	RF03572	9.4e-07
RF00827	RF03585	0.00042
RF00827	RF03604	9.4e-06
RF00827	RF03615	8.1e-06
RF00827	RF03646	3.6e-05
RF00827	RF03654	7.3e-08
RF00827	RF03729	5.4e-09
RF00827	RF03741	4.9e-05
RF00827	RF03756	1e-09
RF00827	RF03783	8.6e-08
RF00827	RF03856	0.0048
RF00827	RF03883	0.00027
RF00827	RF03916	5.3e-06
RF00827	RF03942	6.4e-05
RF00827	RF03955	0.0028
RF00827	RF03975	0.0002
RF00827	RF03978	0.0016
RF00827	RF03986	3e-05
RF00827	RF03988	1.9e-05
RF00827	RF03990	4.6e-05
RF00827	RF04017	0.0001
RF00827	RF04081	3.6e-08
RF00827	RF04099	1.3e-05
RF00827	RF04144	0.0044
RF00827	RF04145	7e-10
RF00827	RF04171	2.8e-05
RF00827	RF04173	0.0053
RF00827	RF04255	4.8e-07
RF00828	RF00840	0.0011
RF00828	RF00848	3.6e-06
RF00828	RF00856	2.1e-05
RF00828	RF00864	1.9e-06
RF00828	RF00931	0.00012
RF00828	RF00941	8.4e-08
RF00828	RF00958	0.00045
RF00828	RF00961	2e-07
RF00828	RF00968	0.0048
RF00828	RF00974	7e-11
RF00828	RF00977	4.2e-05
RF00828	RF01061	6.3e-09
RF00828	RF01431	0.0034
RF00828	RF02095	6e-06
RF00828	RF02397	0.00054
RF00828	RF03171	0.00012
RF00828	RF03208	0.0084
RF00828	RF03233	8.9e-07
RF00828	RF03284	7.1e-05
RF00828	RF03303	0.00013
RF00828	RF03326	0.0022
RF00828	RF03330	2.1e-05
RF00828	RF03350	0.0012
RF00828	RF03356	5.5e-07
RF00828	RF03362	0.00042
RF00828	RF03402	4e-05
RF00828	RF03445	0.00088
RF00828	RF03461	1.3e-05
RF00828	RF03497	0.00044
RF00828	RF03514	0.0062
RF00828	RF03578	4.1e-11
RF00828	RF03583	8.7e-07
RF00828	RF03594	1.2e-07
RF00828	RF03616	1.9e-06
RF00828	RF03634	2.1e-06
RF00828	RF03657	0.0019
RF00828	RF03693	5.3e-07
RF00828	RF03694	8.2e-06
RF00828	RF03714	1.1e-08
RF00828	RF03723	0.00017
RF00828	RF03735	0.00024
RF00828	RF03741	2.8e-05
RF00828	RF03769	3.6e-10
RF00828	RF03796	2.6e-10
RF00828	RF03799	3.9e-09
RF00828	RF03814	5.4e-07
RF00828	RF03815	0.001
RF00828	RF03818	3.1e-05
RF00828	RF03860	2.4e-09
RF00828	RF03908	8.9e-08
RF00828	RF03923	7.6e-06
RF00828	RF03932	8e-05
RF00828	RF03940	8.6e-06
RF00828	RF03943	0.0054
RF00828	RF03955	1.8e-07
RF00828	RF03958	0.0071
RF00828	RF03980	0.0008
RF00828	RF03999	6.3e-06
RF00828	RF04007	2.5e-07
RF00828	RF04010	0.00021
RF00828	RF04024	0.00055
RF00828	RF04035	0.0022
RF00828	RF04036	6.9e-07
RF00828	RF04038	1.3e-05
RF00828	RF04082	1.4e-06
RF00828	RF04087	4.8e-06
RF00828	RF04089	4.6e-07
RF00828	RF04112	1.8e-10
RF00828	RF04113	2.5e-06
RF00828	RF04120	1.2e-09
RF00828	RF04125	1.7e-07
RF00828	RF04134	1.6e-05
RF00828	RF04145	4.1e-08
RF00828	RF04172	1.2e-09
RF00828	RF04201	6.7e-06
RF00828	RF04205	3.2e-05
RF00828	RF04206	1e-06
RF00828	RF04209	1.2e-05
RF00828	RF04211	1.9e-06
RF00828	RF04214	7.6e-05
RF00828	RF04246	0.00011
RF00828	RF04267	0.0076
RF00828	RF04300	2e-06
RF00829	RF00925	4e-06
RF00829	RF00992	1.4e-05
RF00829	RF00995	6.5e-06
RF00829	RF01015	6.7e-05
RF00829	RF01064	2e-05
RF00829	RF01503	0.0077
RF00829	RF02021	0.0016
RF00829	RF03251	2.4e-05
RF00829	RF03293	0.0022
RF00829	RF03351	5e-05
RF00829	RF03406	5e-05
RF00829	RF03558	0.0002
RF00829	RF03685	7.1e-05
RF00829	RF03754	0.0039
RF00829	RF03788	1.3e-05
RF00829	RF03820	0.0015
RF00829	RF03837	9.6e-05
RF00829	RF03849	6.5e-05
RF00829	RF03861	0.00044
RF00829	RF03863	4.4e-05
RF00829	RF03872	7.1e-05
RF00829	RF03908	3.6e-05
RF00829	RF03941	0.0069
RF00829	RF03951	0.0019
RF00829	RF03960	0.0021
RF00829	RF03972	0.0063
RF00829	RF04011	9.4e-05
RF00829	RF04039	0.0011
RF00829	RF04062	4.6e-05
RF00829	RF04092	0.00014
RF00829	RF04096	1.7e-05
RF00829	RF04132	3.7e-05
RF00829	RF04240	0.00025
RF00830	RF00831	1.9e-06
RF00830	RF00835	4.8e-05
RF00830	RF00852	3.3e-05
RF00830	RF00884	0.00088
RF00830	RF00972	3.1e-08
RF00830	RF00984	0.00052
RF00830	RF01016	0.00091
RF00830	RF01043	3.7e-07
RF00830	RF01503	0.00077
RF00830	RF01537	0.0071
RF00830	RF01859	0.00053
RF00830	RF01927	1.2e-06
RF00830	RF02245	0.0027
RF00830	RF03187	1.4e-05
RF00830	RF03190	0.0007
RF00830	RF03201	0.0041
RF00830	RF03251	4.5e-05
RF00830	RF03278	2.3e-05
RF00830	RF03323	3.2e-06
RF00830	RF03394	3.1e-09
RF00830	RF03406	1.2e-05
RF00830	RF03444	3.4e-06
RF00830	RF03452	9.4e-10
RF00830	RF03463	0.0086
RF00830	RF03471	1.3e-05
RF00830	RF03565	0.00019
RF00830	RF03566	0.0041
RF00830	RF03578	2.5e-09
RF00830	RF03652	9.1e-09
RF00830	RF03654	4.3e-08
RF00830	RF03658	3.3e-06
RF00830	RF03715	0.0045
RF00830	RF03719	3e-08
RF00830	RF03734	1.5e-06
RF00830	RF03736	2.2e-06
RF00830	RF03760	1.8e-05
RF00830	RF03788	1.7e-06
RF00830	RF03794	0.00067
RF00830	RF03804	0.0015
RF00830	RF03834	0.0011
RF00830	RF03849	2.3e-06
RF00830	RF03861	1.9e-05
RF00830	RF03862	9.4e-06
RF00830	RF03872	8.4e-10
RF00830	RF03888	2.9e-07
RF00830	RF03891	0.0073
RF00830	RF03951	0.00065
RF00830	RF03956	0.00034
RF00830	RF03966	0.0043
RF00830	RF03972	8.1e-06
RF00830	RF03983	4.8e-07
RF00830	RF03985	1.6e-05
RF00830	RF04011	7.3e-11
RF00830	RF04066	5.7e-09
RF00830	RF04073	2.1e-07
RF00830	RF04099	0.00024
RF00830	RF04106	5.2e-10
RF00830	RF04132	3.7e-08
RF00830	RF04161	0.00052
RF00830	RF04163	0.00017
RF00830	RF04204	6.4e-05
RF00830	RF04213	0.00014
RF00830	RF04244	6.2e-07
RF00830	RF04264	0.00017
RF00831	RF00883	0.0025
RF00831	RF03800	0.00093
RF00831	RF03812	0.0089
RF00831	RF03849	0.0049
RF00831	RF03880	1.1e-05
RF00831	RF04154	0.0003
RF00831	RF04161	0.00016
RF00832	RF00854	7.1e-05
RF00832	RF00956	0.0054
RF00832	RF02400	0.00021
RF00832	RF03323	0.0054
RF00832	RF03360	0.00049
RF00832	RF03372	0.0039
RF00832	RF03423	4.3e-05
RF00832	RF03516	0.0012
RF00832	RF03552	0.0052
RF00832	RF03594	0.00031
RF00832	RF03775	1.4e-05
RF00832	RF03802	0.0013
RF00832	RF03922	0.00059
RF00832	RF03973	0.00046
RF00832	RF04036	0.0001
RF00832	RF04089	0.00021
RF00832	RF04148	0.0043
RF00832	RF04210	8e-06
RF00833	RF00845	0.0041
RF00833	RF00866	6.7e-05
RF00833	RF00895	0.00059
RF00833	RF00896	2.4e-06
RF00833	RF00904	2.2e-08
RF00833	RF00911	0.0023
RF00833	RF00935	2.2e-06
RF00833	RF00949	0.0008
RF00833	RF00956	1.9e-06
RF00833	RF00966	6.1e-08
RF00833	RF00990	9.5e-08
RF00833	RF00996	0.0016
RF00833	RF01006	8e-05
RF00833	RF01024	0.0054
RF00833	RF01490	0.0056
RF00833	RF01582	0.00063
RF00833	RF01667	3.3e-06
RF00833	RF01926	0.00069
RF00833	RF02711	0.0059
RF00833	RF03171	2e-06
RF00833	RF03174	2.2e-09
RF00833	RF03187	0.00032
RF00833	RF03233	0.0036
RF00833	RF03316	2.8e-06
RF00833	RF03329	3.9e-06
RF00833	RF03362	9e-05
RF00833	RF03370	6.6e-05
RF00833	RF03371	0.0017
RF00833	RF03372	0.0011
RF00833	RF03401	1.4e-07
RF00833	RF03414	8.6e-06
RF00833	RF03419	0.00021
RF00833	RF03426	0.00066
RF00833	RF03450	9.2e-07
RF00833	RF03457	0.0013
RF00833	RF03460	5e-05
RF00833	RF03501	0.0003
RF00833	RF03569	0.0029
RF00833	RF03583	3.1e-06
RF00833	RF03585	8.5e-05
RF00833	RF03628	0.0017
RF00833	RF03645	0.00011
RF00833	RF03648	5.7e-07
RF00833	RF03665	1.3e-06
RF00833	RF03682	0.00011
RF00833	RF03689	5.5e-05
RF00833	RF03694	6.5e-05
RF00833	RF03704	0.00013
RF00833	RF03705	4.3e-13
RF00833	RF03709	0.0018
RF00833	RF03716	8.9e-07
RF00833	RF03727	0.00026
RF00833	RF03739	6.2e-08
RF00833	RF03751	2e-05
RF00833	RF03762	0.0017
RF00833	RF03796	1.8e-05
RF00833	RF03798	2.2e-05
RF00833	RF03818	8.3e-08
RF00833	RF03879	0.0022
RF00833	RF03881	0.0011
RF00833	RF03884	0.0011
RF00833	RF03904	0.0044
RF00833	RF03912	7.9e-14
RF00833	RF03940	0.00043
RF00833	RF03941	0.00053
RF00833	RF03954	3.6e-05
RF00833	RF03955	0.0003
RF00833	RF03958	3.1e-07
RF00833	RF03979	4.8e-05
RF00833	RF03988	0.0084
RF00833	RF04010	0.0024
RF00833	RF04013	0.00015
RF00833	RF04037	0.00097
RF00833	RF04048	0.0063
RF00833	RF04054	7e-08
RF00833	RF04056	0.0019
RF00833	RF04059	0.00045
RF00833	RF04071	0.00016
RF00833	RF04108	1e-05
RF00833	RF04111	0.0033
RF00833	RF04112	0.00092
RF00833	RF04113	2.8e-07
RF00833	RF04114	0.002
RF00833	RF04118	6.5e-05
RF00833	RF04125	0.00016
RF00833	RF04136	8.4e-07
RF00833	RF04139	0.00036
RF00833	RF04151	1.5e-07
RF00833	RF04197	6.7e-06
RF00833	RF04206	5e-08
RF00833	RF04209	0.0001
RF00833	RF04210	6.8e-05
RF00833	RF04241	3.5e-07
RF00833	RF04246	0.0073
RF00833	RF04251	1.8e-07
RF00833	RF04258	0.009
RF00833	RF04262	0.001
RF00833	RF04276	7.8e-08
RF00833	RF04294	0.0014
RF00833	RF04299	0.0027
RF00834	RF00837	0.00065
RF00834	RF00838	0.00037
RF00834	RF00885	0.00084
RF00834	RF00941	0.00021
RF00834	RF00971	6.3e-08
RF00834	RF00979	5.1e-06
RF00834	RF03305	0.0099
RF00834	RF03316	0.0029
RF00834	RF03495	0.00021
RF00834	RF03545	0.00036
RF00834	RF03679	0.0023
RF00834	RF03717	0.00085
RF00834	RF03732	0.0039
RF00834	RF03743	1.4e-07
RF00834	RF03762	0.0077
RF00834	RF03781	0.00012
RF00834	RF03818	1.8e-08
RF00834	RF03846	0.00084
RF00834	RF03940	2e-05
RF00834	RF03957	0.0062
RF00834	RF03967	0.00064
RF00834	RF04056	0.0012
RF00834	RF04059	9.7e-05
RF00834	RF04070	0.00012
RF00834	RF04079	3.5e-05
RF00834	RF04107	0.0017
RF00834	RF04113	0.0036
RF00834	RF04120	0.00046
RF00834	RF04139	0.0023
RF00834	RF04157	3.8e-06
RF00834	RF04164	5.5e-05
RF00834	RF04173	0.0065
RF00834	RF04199	0.0066
RF00834	RF04203	0.007
RF00834	RF04210	0.0047
RF00834	RF04211	1.5e-05
RF00834	RF04235	1e-05
RF00834	RF04276	0.0001
RF00835	RF00848	4.2e-05
RF00835	RF00965	0.0018
RF00835	RF00984	8.9e-09
RF00835	RF00995	3.8e-07
RF00835	RF01001	0.0086
RF00835	RF01064	2.6e-06
RF00835	RF01910	1.6e-06
RF00835	RF01915	0.0031
RF00835	RF02245	7.2e-06
RF00835	RF02901	0.0019
RF00835	RF03187	1.2e-08
RF00835	RF03223	0.00057
RF00835	RF03251	4.7e-05
RF00835	RF03359	0.00018
RF00835	RF03454	4.2e-06
RF00835	RF03490	0.00096
RF00835	RF03498	2.2e-07
RF00835	RF03631	1.7e-05
RF00835	RF03641	8.4e-07
RF00835	RF03664	1.4e-08
RF00835	RF03676	1.4e-05
RF00835	RF03751	0.0001
RF00835	RF03788	6.1e-10
RF00835	RF03813	1.6e-05
RF00835	RF03834	0.00023
RF00835	RF03849	1.1e-06
RF00835	RF03880	6.9e-05
RF00835	RF03921	0.0054
RF00835	RF03941	0.0032
RF00835	RF03977	0.0004
RF00835	RF04010	1.1e-05
RF00835	RF04022	3e-06
RF00835	RF04039	0.0057
RF00835	RF04073	3e-05
RF00835	RF04076	0.00015
RF00835	RF04108	0.00033
RF00835	RF04110	0.0046
RF00835	RF04132	1.9e-05
RF00835	RF04140	2.1e-07
RF00835	RF04147	0.0007
RF00835	RF04151	1e-07
RF00835	RF04204	0.00036
RF00835	RF04211	2.8e-05
RF00835	RF04276	8e-05
RF00836	RF00856	7.5e-05
RF00836	RF00904	5.3e-06
RF00836	RF00905	5.3e-05
RF00836	RF00925	0.00022
RF00836	RF00931	1.6e-05
RF00836	RF00961	2.5e-06
RF00836	RF00963	0.0052
RF00836	RF00995	0.00056
RF00836	RF01016	2.5e-06
RF00836	RF01061	1.1e-08
RF00836	RF01612	0.0017
RF00836	RF01667	0.0048
RF00836	RF01902	4.1e-05
RF00836	RF01915	0.0016
RF00836	RF01996	0.00067
RF00836	RF02025	0.00012
RF00836	RF02668	5.1e-05
RF00836	RF03197	5.4e-07
RF00836	RF03323	0.00016
RF00836	RF03444	0.00021
RF00836	RF03474	0.0013
RF00836	RF03590	0.00059
RF00836	RF03607	7.7e-05
RF00836	RF03634	0.00021
RF00836	RF03704	8.9e-05
RF00836	RF03739	0.00047
RF00836	RF03793	0.0087
RF00836	RF03877	7.6e-08
RF00836	RF03938	0.0012
RF00836	RF03979	0.00043
RF00836	RF03985	0.00045
RF00836	RF04036	7.2e-06
RF00836	RF04038	0.00025
RF00836	RF04061	0.0025
RF00836	RF04066	0.0011
RF00836	RF04089	7.7e-05
RF00836	RF04099	0.00016
RF00836	RF04125	0.00041
RF00836	RF04144	0.0048
RF00836	RF04167	1.6e-05
RF00836	RF04176	0.0018
RF00836	RF04201	0.0015
RF00836	RF04241	3.8e-06
RF00836	RF04258	0.00011
RF00837	RF00838	3e-10
RF00837	RF00969	0.0063
RF00837	RF00994	0.0053
RF00837	RF01667	0.002
RF00837	RF03497	0.00013
RF00837	RF03506	0.0026
RF00837	RF03814	9.1e-05
RF00837	RF04035	0.0013
RF00837	RF04076	0.0056
RF00837	RF04255	0.00034
RF00838	RF00904	0.0034
RF00838	RF00925	0.0047
RF00838	RF00994	0.00018
RF00838	RF03244	6.3e-06
RF00838	RF03375	0.00044
RF00838	RF03454	0.003
RF00838	RF03604	0.0054
RF00838	RF03704	0.0012
RF00838	RF03729	0.001
RF00838	RF03814	6.3e-06
RF00838	RF03851	0.0012
RF00838	RF03936	0.0093
RF00838	RF04144	0.0003
RF00839	RF00901	0.0019
RF00839	RF00909	0.00059
RF00839	RF01061	0.0014
RF00839	RF02058	1.3e-05
RF00839	RF03191	0.0066
RF00839	RF03225	0.0054
RF00839	RF03308	2.5e-07
RF00839	RF03355	0.0014
RF00839	RF03457	1.2e-07
RF00839	RF03460	0.00055
RF00839	RF03503	1.9e-06
RF00839	RF03550	0.0023
RF00839	RF03637	0.00022
RF00839	RF03652	0.00047
RF00839	RF03682	6.3e-06
RF00839	RF03725	8.8e-05
RF00839	RF03729	4.6e-08
RF00839	RF03754	1.1e-06
RF00839	RF03802	4.6e-07
RF00839	RF03846	3.4e-08
RF00839	RF03884	0.0017
RF00839	RF03894	0.00086
RF00839	RF03912	4.3e-08
RF00839	RF04066	0.00032
RF00839	RF04081	0.00047
RF00839	RF04123	9.6e-06
RF00839	RF04185	1.1e-06
RF00840	RF00935	7.9e-06
RF00840	RF01863	0.0011
RF00840	RF02021	6.4e-05
RF00840	RF02069	0.0012
RF00840	RF02097	0.00014
RF00840	RF03318	0.0071
RF00840	RF03356	0.0004
RF00840	RF03399	2.8e-05
RF00840	RF03523	0.00076
RF00840	RF03545	0.0012
RF00840	RF03556	0.0043
RF00840	RF03599	0.00011
RF00840	RF03637	9.3e-11
RF00840	RF03672	1.8e-05
RF00840	RF03682	0.0024
RF00840	RF03687	1.2e-06
RF00840	RF03705	0.0016
RF00840	RF03743	0.0072
RF00840	RF03793	0.0021
RF00840	RF03858	0.0061
RF00840	RF03996	6.9e-05
RF00840	RF04038	1.4e-06
RF00840	RF04197	0.0021
RF00840	RF04201	1.6e-09
RF00841	RF01487	0.0034
RF00841	RF03244	0.00023
RF00841	RF03331	0.00025
RF00841	RF03501	0.002
RF00841	RF03583	0.00094
RF00841	RF03585	9.9e-05
RF00841	RF03607	1.5e-05
RF00841	RF03694	1.9e-05
RF00841	RF03714	0.0044
RF00841	RF03722	0.00016
RF00841	RF03743	0.00016
RF00841	RF03798	0.00054
RF00841	RF03906	0.0093
RF00841	RF04002	0.00021
RF00841	RF04013	0.005
RF00841	RF04108	5.1e-06
RF00841	RF04113	0.0013
RF00841	RF04145	0.00011
RF00841	RF04202	0.0082
RF00841	RF04235	0.0093
RF00841	RF04241	7e-05
RF00841	RF04258	6.9e-05
RF00842	RF00928	3.7e-07
RF00842	RF00956	0.00026
RF00842	RF00980	2.2e-07
RF00842	RF02625	0.00026
RF00842	RF03284	0.0063
RF00842	RF03306	0.0015
RF00842	RF03330	3.7e-09
RF00842	RF03693	3e-05
RF00842	RF03702	1.8e-06
RF00842	RF03716	0.0008
RF00842	RF03826	0.0015
RF00842	RF03862	0.0001
RF00842	RF03942	1.5e-05
RF00842	RF03955	7.7e-07
RF00842	RF03974	1.8e-06
RF00842	RF04052	0.0019
RF00842	RF04112	0.00034
RF00842	RF04118	3.4e-08
RF00842	RF04139	0.0056
RF00842	RF04145	3.1e-06
RF00842	RF04206	1.3e-06
RF00842	RF04240	0.001
RF00843	RF00855	0.00032
RF00843	RF00899	0.00087
RF00843	RF00976	0.0094
RF00843	RF01900	0.0088
RF00843	RF01925	0.0028
RF00843	RF01936	5.6e-06
RF00843	RF02024	0.00035
RF00843	RF03193	9e-06
RF00843	RF03418	1.1e-05
RF00843	RF03424	8.7e-06
RF00843	RF03443	0.00011
RF00843	RF03485	0.00038
RF00843	RF03523	7.4e-07
RF00843	RF03718	4.3e-07
RF00843	RF03765	5e-05
RF00843	RF03814	1.4e-08
RF00843	RF03832	4.8e-06
RF00843	RF03867	9.3e-05
RF00843	RF03991	8.7e-06
RF00843	RF03997	0.00068
RF00843	RF04162	0.0013
RF00843	RF04235	8.6e-09
RF00843	RF04249	0.0021
RF00844	RF03464	0.0039
RF00844	RF03564	0.0032
RF00844	RF03716	0.00038
RF00844	RF03818	2.2e-05
RF00844	RF03843	1.5e-05
RF00844	RF03951	0.0039
RF00844	RF04263	0.0051
RF00844	RF04272	0.0011
RF00844	RF04276	0.0021
RF00844	RF04280	7.4e-05
RF00844	RF04302	0.0033
RF00845	RF00877	0.0042
RF00845	RF00884	7.2e-05
RF00845	RF00906	2.9e-06
RF00845	RF00920	0.00078
RF00845	RF00939	0.004
RF00845	RF00961	7e-06
RF00845	RF00972	0.00069
RF00845	RF00984	2.1e-05
RF00845	RF01011	5e-05
RF00845	RF01029	2.9e-05
RF00845	RF01043	1.3e-12
RF00845	RF01061	2.4e-08
RF00845	RF01503	9e-06
RF00845	RF01581	0.0022
RF00845	RF01612	1.3e-05
RF00845	RF01746	0.00041
RF00845	RF01762	0.0049
RF00845	RF01895	0.00019
RF00845	RF01897	0.00076
RF00845	RF01901	0.00044
RF00845	RF01943	1.5e-06
RF00845	RF02009	7.7e-06
RF00845	RF02097	1.5e-06
RF00845	RF03171	0.00035
RF00845	RF03173	0.00086
RF00845	RF03191	0.0037
RF00845	RF03195	2.1e-05
RF00845	RF03208	3.5e-05
RF00845	RF03265	1.6e-05
RF00845	RF03302	0.00057
RF00845	RF03313	1.7e-05
RF00845	RF03323	0.0031
RF00845	RF03329	7e-05
RF00845	RF03335	9.2e-08
RF00845	RF03339	0.0023
RF00845	RF03344	0.0023
RF00845	RF03366	3.4e-05
RF00845	RF03373	0.00081
RF00845	RF03396	0.0026
RF00845	RF03406	1.7e-05
RF00845	RF03452	0.0011
RF00845	RF03488	0.00027
RF00845	RF03489	7.4e-05
RF00845	RF03509	0.0037
RF00845	RF03556	1.5e-05
RF00845	RF03565	0.00018
RF00845	RF03572	1.7e-06
RF00845	RF03578	0.00021
RF00845	RF03583	6e-07
RF00845	RF03590	8.7e-08
RF00845	RF03616	9.8e-08
RF00845	RF03627	0.0038
RF00845	RF03631	3e-07
RF00845	RF03634	3.4e-06
RF00845	RF03640	2.1e-05
RF00845	RF03642	2.9e-08
RF00845	RF03658	3.4e-07
RF00845	RF03698	0.0085
RF00845	RF03702	4.1e-07
RF00845	RF03709	0.0032
RF00845	RF03734	4.3e-08
RF00845	RF03747	0.00093
RF00845	RF03754	0.0075
