family	split	n_sequences
RF01620	test	18
RF01621	val	8
RF01622	train	21
RF01623	train	19
RF01624	test	11
RF01625	train	10
RF01626	train	9
RF01627	test	27
RF01628	test	8
RF01629	train	85
RF01630	test	35
RF01631	train	13
RF01632	train	9
RF01633	train	12
RF01634	train	10
RF01635	train	12
RF01636	val	8
RF01637	test	58
RF01638	train	12
RF01639	train	10
RF01640	train	10
RF01641	train	10
RF01642	val	12
RF01643	val	10
RF01644	train	13
RF01645	train	22
RF01646	train	8
RF01647	train	8
RF01648	train	9
RF01649	test	9
RF01650	val	1
RF01651	test	10
RF01652	train	19
RF01653	train	19
RF01654	train	21
RF01655	test	22
RF01656	train	462
RF01658	train	12
RF01659	test	9
RF01660	train	93
RF01661	train	21
RF01662	train	9
RF01663	train	9
RF01664	train	19
RF01665	test	2
RF01666	train	10
RF01667	train	13
RF01668	test	705
RF01669	test	564
RF01670	train	67
RF01671	test	25
RF01672	val	2
RF01673	train	845
RF01674	train	626
RF01675	train	1602
RF01676	val	188
RF01677	train	2
RF01678	train	5
RF01679	train	90
RF01680	test	2
RF01681	train	12
RF01682	val	2
RF01683	train	5
RF01684	train	1055
RF01685	val	1361
RF01686	test	52
RF01687	train	15136
RF01688	train	2995
RF01689	train	1217
RF01690	test	12943
RF01691	test	237
RF01692	test	662
RF01693	val	1841
RF01694	train	117
RF01695	train	11991
RF01696	train	100
RF01697	test	142
RF01698	train	5
RF01699	train	7967
RF01700	train	158
RF01701	test	1406
RF01702	train	105
RF01703	train	5
RF01704	train	1012
RF01705	train	29434
RF01706	test	7139
RF01707	val	544
RF01708	val	378
RF01709	val	109
RF01710	val	49
RF01711	test	62
RF01712	val	85
RF01713	val	40
RF01714	val	3
RF01715	train	26
RF01716	test	37
RF01717	val	373
RF01718	val	65
RF01719	train	470
RF01720	val	344
RF01721	test	677
RF01722	val	8
RF01723	train	146
RF01724	test	92
RF01725	val	2459
RF01726	train	4467
RF01727	val	966
RF01728	val	480
RF01729	train	39
RF01730	train	18
RF01731	train	6469
RF01732	val	266
RF01733	test	109
RF01734	train	10617
RF01735	val	1320
RF01736	val	359
RF01737	test	14
RF01738	train	388
RF01739	train	1613
RF01740	train	628
RF01742	train	27
RF01743	val	26
RF01744	test	81
RF01745	val	185
RF01746	train	2481
RF01747	test	2680
RF01748	val	181
RF01749	test	1708
RF01750	test	10393
RF01751	train	127
RF01752	train	160
RF01753	val	50
RF01754	test	1394
RF01755	val	672
RF01756	train	453
RF01757	train	81
RF01758	train	628
RF01759	val	259
RF01760	train	588
RF01761	test	156
RF01762	train	367
RF01763	train	2832
RF01764	val	2025
RF01765	train	5
RF01766	train	5780
RF01767	test	479
RF01768	train	6
RF01769	train	458
RF01770	train	773
RF01771	test	175
RF01772	train	415
RF01773	train	390
RF01774	train	19
RF01775	val	57
RF01776	train	416
RF01778	test	289
RF01779	test	2
RF01780	val	9
RF01781	val	1171
RF01782	test	24531
RF01783	val	2
RF01784	test	168
RF01785	test	7
RF01786	test	3655
RF01787	train	6044
RF01788	train	427
RF01789	train	5
RF01790	train	8
RF01791	train	478
RF01792	test	5
RF01793	test	2083
RF01794	train	1087
RF01795	test	33
RF01796	train	312
RF01797	val	249
RF01798	train	1
RF01800	train	5
RF01802	val	6
RF01803	val	1565
RF01804	train	12
RF01807	test	13
RF01808	train	152
RF01809	train	480
RF01810	val	44
RF01811	train	70
RF01812	train	63
RF01813	train	80
RF01814	test	497
RF01815	train	244
RF01816	train	49
RF01817	test	2
RF01818	train	6
RF01819	test	50
RF01820	train	606
RF01821	val	53
RF01822	train	4
RF01823	train	394
RF01824	train	8
RF01825	train	7
RF01826	test	483
RF01827	test	398
RF01828	train	4
RF01829	train	1
RF01830	test	650
RF01831	train	6725
RF01832	test	253
RF01833	val	5
RF01834	test	5
RF01835	train	21
RF01836	train	8
RF01837	train	4
RF01838	val	4
RF01839	val	5
RF01840	test	16
RF01841	val	9
RF01842	test	15
RF01843	test	3
RF01844	val	368
RF01845	train	330
RF01846	train	1270
RF01847	train	3421
RF01848	train	1689
RF01849	train	6635
RF01850	train	223
RF01851	train	409
RF01852	train	16790
RF01853	train	579
RF01854	train	10937
RF01855	train	4572
RF01856	train	108
RF01857	train	2483
RF01858	train	5
RF01859	train	1467
RF01860	train	455
RF01861	train	19
RF01862	train	11
RF01863	train	1
RF01864	train	11
RF01865	test	4
RF01866	train	9
RF01867	train	864
RF01871	val	91
RF01872	val	92
RF01873	train	87
RF01874	val	82
RF01875	test	100
RF01876	test	69
RF01877	test	125
RF01879	val	115
RF01880	test	76
RF01881	train	83
RF01882	val	127
RF01883	test	97
RF01884	val	520
RF01885	val	14
RF01886	val	16
RF01887	val	98
RF01888	val	104
RF01889	test	8
RF01890	val	2
RF01891	test	139
RF01892	test	123
RF01894	val	489
RF01895	train	299
RF01896	train	139
RF01897	train	104
RF01898	train	161
RF01899	train	7
RF01900	train	9
RF01901	train	19
RF01902	train	31
RF01903	train	211
RF01904	test	36
RF01905	val	78
RF01906	val	87
RF01909	val	109
RF01910	train	42
RF01911	train	1906
RF01912	train	3733
RF01913	train	40
RF01914	train	107
RF01915	train	25
RF01916	train	26
RF01917	train	236
RF01918	train	28
RF01919	train	19
RF01920	train	69
RF01921	train	26
RF01922	train	63
RF01923	train	73
RF01924	train	2853
RF01925	train	66
RF01926	train	158
RF01927	train	8
RF01928	test	104
RF01929	val	10
RF01930	val	11
RF01931	val	17
RF01932	test	16
RF01933	val	13
RF01934	test	14
RF01935	val	5
RF01936	train	23
RF01937	train	791
RF01938	train	18
RF01939	train	59
RF01940	train	2
RF01941	train	17
RF01943	train	156
RF01944	train	39
RF01945	train	334
RF01946	train	104
RF01947	train	100
RF01948	val	75
RF01950	test	99
RF01951	val	431
RF01952	test	70
RF01953	val	399
RF01954	val	272
RF01955	test	173
RF01956	val	166
RF01957	test	179
RF01959	train	33405
RF01960	train	57018
RF01962	test	84
RF01963	val	126
RF01964	test	87
RF01965	val	101
RF01966	val	112
RF01967	test	456
RF01968	val	454
RF01969	test	367
RF01970	val	456
RF01971	test	118
RF01972	val	87
RF01973	test	73
RF01974	val	70
RF01975	test	91
RF01976	test	446
RF01977	test	66
RF01978	test	94
RF01979	test	95
RF01981	test	106
RF01982	val	204
RF01983	test	115
RF01984	test	322
RF01985	val	64
RF01986	test	145
RF01987	train	67
RF01988	train	88
RF01989	train	4185
RF01990	val	307
RF01991	train	13
RF01992	test	111
RF01996	train	14
RF01997	train	14
RF01998	val	4391
RF01999	train	3947
RF02000	train	52
RF02001	val	13043
RF02003	val	3460
RF02004	val	1706
RF02005	val	6381
RF02006	train	19
RF02007	train	12
RF02008	train	17
RF02009	train	12
RF02010	train	6
RF02011	train	4
RF02012	val	2790
RF02014	train	19
RF02015	train	16
RF02016	test	10
RF02017	train	75
RF02018	train	15
RF02019	train	37
RF02020	train	118
RF02021	train	25
RF02022	train	13
RF02023	train	8
RF02024	train	25
RF02025	train	51
RF02026	train	6
RF02027	train	95
RF02028	val	14
RF02029	train	397
RF02030	train	416
RF02031	train	384
RF02032	train	148
RF02033	test	4544
RF02034	train	293
RF02035	val	605
RF02036	val	33
RF02037	test	45
RF02038	test	98
RF02039	test	110
RF02040	test	70
RF02041	test	449
RF02042	val	117
RF02043	val	110
RF02044	test	21
RF02045	val	93
RF02046	val	215
RF02047	test	258
RF02048	val	3
RF02049	test	5
RF02050	val	5
RF02051	val	99
RF02052	test	26
RF02053	train	133
RF02054	train	4
RF02055	val	7
RF02056	train	7
RF02057	train	193
RF02058	train	39
RF02059	val	4
RF02060	val	22
RF02061	train	373
RF02062	test	4
RF02063	train	5
RF02064	train	31
RF02065	val	7
RF02066	train	10
RF02067	train	9
RF02068	train	28
RF02069	train	26
RF02070	test	6
RF02071	val	4
RF02072	test	4
RF02073	val	8
RF02074	train	252
RF02075	train	47
RF02076	train	243
RF02077	val	6
RF02078	val	4
RF02079	train	151
RF02080	test	6
RF02081	val	277
RF02082	train	22
RF02083	train	13
RF02084	train	170
RF02085	test	14
RF02086	test	12
RF02087	test	9
RF02088	val	6
RF02089	test	82
RF02090	val	118
RF02091	test	185
RF02092	train	123
RF02093	train	207
RF02094	train	60
RF02095	train	302
RF02097	train	37
RF02098	val	28
RF02099	test	1
RF02100	train	163
RF02101	val	111
RF02102	val	35
RF02103	val	227
RF02104	test	83
RF02105	val	141
RF02106	test	77
RF02107	val	91
RF02108	train	108
RF02109	test	309
RF02110	test	191
RF02111	test	180
RF02112	test	126
RF02113	test	118
RF02114	val	58
RF02115	train	94
RF02116	test	110
RF02117	val	69
RF02118	val	84
RF02119	val	74
RF02120	test	75
RF02121	val	86
RF02122	val	110
RF02123	val	79
RF02124	test	132
RF02125	test	58
RF02126	test	65
RF02127	test	108
RF02128	test	96
RF02129	val	37
RF02130	val	108
RF02131	val	102
RF02132	val	90
RF02133	test	85
RF02134	val	15
RF02135	val	14
RF02136	test	14
RF02137	val	60
RF02138	val	357
RF02139	test	92
RF02140	test	381
RF02141	val	422
RF02142	train	100
RF02143	test	109
RF02144	train	679
RF02145	test	93
RF02146	test	86
RF02147	val	73
RF02148	test	103
RF02149	train	99
RF02150	val	92
RF02151	train	81
RF02153	val	328
RF02154	val	93
RF02155	test	15
RF02156	test	91
RF02157	val	68
RF02158	test	99
RF02159	val	118
RF02160	val	469
RF02161	val	75
RF02162	val	287
RF02163	train	362
RF02164	val	115
RF02165	val	109
RF02166	val	196
RF02167	val	85
RF02168	test	111
RF02169	test	84
RF02170	train	35
RF02171	val	15
RF02172	train	30
RF02173	test	118
RF02174	test	90
RF02175	val	99
RF02176	test	108
RF02177	test	63
RF02178	train	65
RF02179	val	97
RF02180	test	87
RF02181	train	17
RF02182	train	29
RF02183	val	84
RF02184	test	44
RF02185	test	101
RF02186	test	13
RF02187	val	107
RF02188	test	110
RF02189	test	117
RF02190	train	96
RF02191	val	56
RF02192	val	82
RF02193	test	109
RF02194	train	221
RF02195	val	108
RF02196	test	74
RF02197	val	23
RF02198	val	89
RF02199	val	86
RF02200	val	66
RF02201	val	100
RF02202	test	8
RF02203	val	94
RF02204	train	93
RF02205	val	119
RF02206	test	86
RF02207	val	16
RF02208	val	86
RF02209	test	403
RF02210	val	117
RF02211	test	15
RF02212	test	69
RF02213	test	23
RF02214	train	3
RF02215	train	117
RF02216	test	182
RF02217	test	17
RF02218	val	46
RF02219	val	186
RF02220	test	22
RF02221	train	2121
RF02222	test	38
RF02223	train	84
RF02224	test	84
RF02225	train	97
RF02226	val	74
RF02227	test	68
RF02228	test	1957
RF02230	train	116
RF02231	train	28
RF02232	train	345
RF02233	train	44
RF02234	test	166
RF02235	test	305
RF02237	test	5
RF02238	train	35
RF02239	train	2
RF02240	test	74
RF02241	test	35
RF02242	test	205
RF02243	train	42
RF02244	train	8
RF02245	train	3
RF02246	test	93
RF02247	val	106
RF02248	test	79
RF02249	val	116
RF02250	test	360
RF02251	test	37
RF02252	val	262
RF02253	train	625
RF02254	train	5
RF02255	test	11
RF02256	test	6
RF02257	val	9
RF02258	val	8
RF02259	val	4
RF02260	train	228
RF02261	train	112
RF02262	train	101
RF02263	train	203
RF02264	train	158
RF02265	train	207
RF02266	train	53
RF02267	test	128
RF02268	train	95
RF02269	val	75
RF02270	test	3
RF02271	train	74083
RF02272	val	95
RF02273	train	20
RF02274	train	25
RF02275	train	752
RF02276	test	1303
RF02277	train	82
RF02278	train	2996
RF02279	val	1
RF02280	val	1
RF02281	test	2
RF02282	test	1
RF02283	train	3
RF02284	train	1
RF02285	train	2
RF02286	val	1
RF02287	train	2
RF02288	train	2
RF02289	test	1
RF02290	val	1
RF02291	train	2
RF02292	test	1
RF02293	train	1
RF02294	train	2
RF02295	train	2
RF02296	val	1
RF02297	val	2
RF02298	test	1
RF02299	train	1
RF02300	val	1
RF02301	train	2
RF02302	test	2
RF02303	train	1
RF02304	test	1
RF02305	val	1
RF02306	test	1
RF02307	val	1
RF02308	val	1
RF02309	train	1
RF02310	test	1
RF02311	val	2
RF02312	train	1
RF02313	val	1
RF02314	test	2
RF02315	val	2
RF02316	train	2
RF02317	test	1
RF02318	val	1
RF02319	test	1
RF02320	val	1
RF02321	test	1
RF02322	val	1
RF02323	train	1
RF02324	test	1
RF02325	train	1
RF02326	val	1
RF02327	train	1
RF02328	test	1
RF02329	val	1
RF02330	train	2
RF02331	train	1
RF02332	test	1
RF02333	val	1
RF02334	test	1
RF02335	train	1
RF02336	train	1
RF02337	train	1
RF02338	train	1
RF02339	test	1
RF02340	train	2
RF02341	val	104
RF02342	train	656
RF02343	train	698
RF02344	train	3511
RF02345	train	1113
RF02346	train	621
RF02347	val	677
RF02348	val	193
RF02349	test	269
RF02350	train	13
RF02351	train	6
RF02353	train	310
RF02354	train	284
RF02355	train	446
RF02356	train	1381
RF02357	train	41
RF02358	val	1
RF02359	val	3
RF02360	train	163
RF02362	val	221
RF02363	train	65
RF02364	val	148
RF02365	train	182
RF02366	train	49
RF02367	train	158
RF02368	test	1
RF02369	train	15
RF02370	test	33
RF02371	train	41
RF02372	test	28
RF02373	val	254
RF02374	val	15
RF02375	train	143
RF02376	train	423
RF02377	train	11
RF02378	train	12
RF02379	val	381
RF02384	train	19
RF02385	test	60
RF02386	train	3
RF02387	val	1
RF02388	test	2
RF02389	test	1
RF02390	val	1
RF02392	test	1
RF02393	val	5
RF02394	val	1
RF02395	test	1
RF02396	train	47
RF02397	train	1
RF02398	val	1
RF02399	train	1677
RF02400	train	23
RF02401	train	179
RF02402	train	112
RF02403	train	24
RF02404	test	1
RF02405	train	325
RF02406	train	27
RF02407	train	223
RF02408	train	20
RF02409	train	17
RF02410	train	398
RF02411	train	263
RF02412	train	24
RF02413	val	246
RF02414	val	90
RF02415	val	9
RF02416	train	1
RF02417	train	2
RF02418	test	19
RF02419	val	93
RF02420	train	161
RF02421	test	636
RF02422	train	255
RF02423	train	251
RF02424	train	161
RF02425	test	93
RF02426	val	17
RF02427	train	6
RF02428	train	8
RF02429	val	2
RF02430	train	9
RF02431	train	183
RF02432	train	122
RF02433	train	31
RF02434	val	26
RF02435	train	81
RF02436	train	104
RF02437	train	66
RF02438	train	8
RF02439	test	5
RF02440	val	1190
RF02441	test	4
RF02442	train	199
RF02443	val	1
RF02444	val	14
RF02445	val	6
RF02446	val	195
RF02447	train	259
RF02448	val	45
RF02449	train	287
RF02450	train	10
RF02451	train	113
RF02452	train	407
RF02453	train	10
RF02454	val	21
RF02457	test	3
RF02458	test	1
RF02459	test	7
RF02460	train	1
RF02462	test	432
RF02463	test	327
RF02464	test	178
RF02465	test	55
RF02466	val	157
RF02468	val	1
RF02469	train	726
RF02470	train	120
RF02471	train	2453
RF02472	train	2
RF02473	train	1
RF02474	test	1
RF02475	val	1
RF02476	test	1
RF02477	val	1
RF02478	test	1
RF02479	val	1
RF02480	train	1
RF02481	test	1
RF02482	test	1
RF02483	val	1
RF02484	test	1
RF02485	val	1
RF02486	test	1
RF02487	val	1
RF02488	train	1
RF02489	test	1
RF02490	val	1
RF02491	test	1
RF02492	val	1
RF02493	test	1
RF02494	val	1
RF02495	train	10
RF02496	test	970
RF02497	val	27
RF02499	test	7
RF02500	test	1072
RF02501	train	214
RF02502	train	1065
RF02503	train	396
RF02504	test	79
RF02505	train	3
RF02506	test	228
RF02507	val	38
RF02508	test	2
RF02509	test	66
RF02510	val	2881
RF02511	test	1
RF02512	val	19
RF02514	val	16994
RF02516	train	607
RF02517	train	12
RF02518	train	1
RF02519	train	1
RF02520	train	181
RF02521	train	1
RF02522	val	1
RF02523	test	464
RF02524	test	9
RF02525	test	1
RF02526	train	51
RF02527	train	2
RF02528	train	14
RF02529	val	1
RF02530	val	3
RF02531	val	93
RF02534	test	3
RF02535	test	376
RF02536	train	1
RF02537	test	1
RF02538	val	1
RF02539	train	757
RF02540	train	2726
RF02541	train	44470
RF02542	train	1158
RF02543	train	89370
RF02544	train	32
RF02545	train	10
RF02546	test	8
RF02547	test	6
RF02548	val	12
RF02550	val	2
RF02551	train	298
RF02552	train	249
RF02553	train	1897
RF02556	train	27
RF02557	test	1
RF02558	train	1
RF02559	train	1
RF02560	test	2
RF02561	val	3
RF02562	val	1
RF02563	train	20
RF02564	test	1601
RF02565	train	1
RF02566	train	649
RF02567	train	11
RF02569	train	12
RF02570	train	1
RF02571	train	2
RF02572	test	1
RF02574	train	75
RF02575	test	3
RF02577	train	177
RF02578	train	53
RF02580	train	46
RF02581	train	1
RF02582	val	1
RF02583	train	3
RF02584	test	53
RF02589	val	84
RF02590	train	2
RF02591	train	3
RF02592	train	74
RF02593	train	76
RF02594	test	112
RF02595	train	3
RF02596	test	89
RF02597	test	1
RF02598	train	72
RF02600	train	525
RF02601	train	32
RF02603	test	25
RF02604	train	32
RF02605	test	762
RF02606	val	58
RF02607	train	2
RF02608	train	118
RF02609	train	1
RF02610	train	1
RF02611	train	1
RF02612	train	22
RF02613	val	31
RF02614	val	2
RF02615	val	1
RF02616	train	61
RF02617	train	180
RF02618	train	3
RF02619	train	1
RF02620	train	26
RF02621	train	146
RF02622	val	10
RF02623	val	22
RF02624	test	1
RF02625	train	691
RF02626	train	16
RF02628	train	105
RF02629	train	2
RF02630	train	1
RF02631	train	12
RF02632	train	4
RF02633	val	7
RF02634	train	12
RF02635	train	1
RF02637	train	1
RF02638	train	1
RF02639	train	1
RF02640	test	16
RF02641	train	2
RF02642	val	1
RF02643	val	4
RF02644	val	3
RF02645	val	1049
RF02646	train	792
RF02647	train	1221
RF02648	test	153
RF02649	train	162
RF02650	train	6
RF02651	train	364
RF02652	val	5
RF02654	train	188
RF02655	train	1
RF02656	val	985
RF02657	train	166
RF02659	train	2
RF02660	train	4
RF02661	train	1
RF02662	train	1
RF02663	train	2
RF02664	test	22
RF02665	val	18
RF02666	val	7
RF02667	train	15
RF02668	train	14
RF02669	train	14
RF02670	test	5
RF02671	test	7
RF02672	train	8
RF02673	train	1126
RF02674	test	2114
RF02675	test	6767
RF02676	test	2
RF02677	train	62
RF02678	val	28
RF02679	val	229
RF02680	test	95
RF02681	test	104
RF02682	train	1928
RF02683	test	1161
RF02684	test	129
RF02685	test	45
RF02686	val	2
RF02687	val	13
RF02688	train	113
RF02689	train	5
RF02690	train	62
RF02691	train	67
RF02692	val	248
RF02693	test	1
RF02694	train	4
RF02695	test	242
RF02696	val	1
RF02697	test	1
RF02698	train	9
RF02699	test	2
RF02700	test	14
RF02701	test	273
RF02702	train	2
RF02703	train	2
RF02705	val	22
RF02706	train	16
RF02707	train	25
RF02708	val	2
RF02709	val	1
RF02711	train	3
RF02712	train	2
RF02713	test	15
RF02714	test	12
RF02715	val	7
RF02716	test	1
RF02717	val	1
RF02718	test	13
RF02720	test	1
RF02721	val	16
RF02722	test	2
RF02723	train	285
RF02724	train	79
RF02725	train	87
RF02726	train	5
RF02727	val	12
RF02728	train	27
RF02730	test	4
RF02731	train	21
RF02732	train	73
RF02733	val	1
RF02734	val	4
RF02735	train	3264
RF02736	test	559
RF02737	train	16
RF02738	train	292
RF02740	val	13
RF02741	train	40
RF02742	train	18
RF02743	train	238
RF02744	train	571
RF02745	train	104
RF02746	test	64
RF02747	val	2
RF02748	test	22
RF02749	train	17
RF02750	val	29
RF02751	val	98
RF02752	train	61
RF02753	test	32
RF02754	test	3
RF02755	test	115
RF02756	val	6
RF02757	test	467
RF02758	test	1
RF02760	train	5
RF02761	train	1
RF02762	train	10
RF02763	train	1
RF02764	val	62
RF02765	val	22
RF02766	train	45
RF02767	train	14
RF02768	train	408
RF02769	train	1
RF02770	test	1032
RF02771	train	1
RF02772	val	1
RF02773	val	180
RF02774	test	22
RF02775	test	24
RF02776	test	1
RF02777	train	2
RF02778	test	29
RF02779	test	21
RF02780	test	17
RF02781	test	10
RF02782	val	497
RF02783	val	145
RF02784	train	1348
RF02785	val	3
RF02786	val	8
RF02787	test	6
RF02788	val	20
RF02789	test	8
RF02790	train	818
RF02792	train	30
RF02793	test	5
RF02794	train	45
RF02795	train	4
RF02796	train	41
RF02797	val	219
RF02798	train	38
RF02799	train	3
RF02800	test	1009
RF02801	train	12
RF02802	val	6
RF02803	test	5
RF02805	train	10
RF02806	train	4
RF02807	train	1
RF02808	val	9
RF02809	train	35
RF02811	val	1
RF02812	train	885
RF02813	test	18
RF02814	train	40
RF02815	val	6
RF02816	val	15
RF02818	train	3798
RF02819	val	6540
RF02820	train	862
RF02821	test	2
RF02823	test	239
RF02824	val	40
RF02825	val	43
RF02826	val	168
RF02827	test	219
RF02828	train	688
RF02829	val	627
RF02830	train	848
RF02831	test	323
RF02832	train	732
RF02833	train	333
RF02834	train	77
RF02835	test	1148
RF02836	test	687
RF02837	train	2173
RF02838	train	7
RF02839	train	3
RF02840	val	248
RF02841	test	20
RF02842	val	18
RF02843	train	2
RF02844	train	14
RF02845	train	6
RF02846	train	79
RF02847	train	30
RF02848	val	135
RF02849	train	1446
RF02850	val	1405
RF02851	val	77
RF02852	train	18
RF02853	val	2
RF02854	test	12
RF02855	train	768
RF02856	test	1
RF02857	test	3
RF02858	train	30
RF02859	train	22
RF02860	train	33
RF02861	val	45
RF02862	train	157
RF02863	train	170
RF02864	train	34
RF02865	train	149
RF02866	train	168
RF02867	train	195
RF02868	train	40
RF02869	train	121
RF02870	train	63
RF02871	train	228
RF02872	val	463
RF02873	val	5
RF02874	val	8
RF02875	test	19
RF02876	train	19
RF02877	train	150
RF02878	train	107
RF02879	test	116
RF02880	train	39
RF02881	test	46
RF02882	test	88
RF02883	train	193
RF02884	train	248
RF02885	train	32
RF02886	train	111
RF02887	val	76
RF02888	test	4
RF02889	test	13
RF02890	val	5
RF02891	train	78
RF02892	train	5
RF02893	val	388
RF02894	train	110
RF02895	val	179
RF02896	test	26
RF02897	val	36
RF02898	train	90
RF02899	train	73
RF02900	train	22
RF02901	train	198
RF02902	test	425
RF02903	train	10
RF02904	val	12
RF02905	train	43
RF02906	train	18
RF02907	test	15
RF02908	val	33
RF02909	test	30
RF02911	test	49
RF02912	test	76
RF02913	val	2656
RF02914	train	8297
RF02915	test	186
RF02916	test	246
RF02917	val	52
RF02918	val	50
RF02919	train	83
RF02920	train	87
RF02921	val	311
RF02922	test	61
RF02923	test	43
RF02925	test	180
RF02926	train	27
RF02927	test	2
RF02928	val	174
RF02929	val	123
RF02930	test	157
RF02931	val	35
RF02932	val	167
RF02933	train	4
RF02934	val	19
RF02935	test	764
RF02936	train	3
RF02937	train	689
RF02938	train	125
RF02940	val	708
RF02941	train	57
RF02942	train	59
RF02943	train	15
RF02944	train	510
RF02945	train	68
RF02946	val	125
RF02947	val	13
RF02949	val	34
RF02950	val	1
RF02951	test	213
RF02952	val	67
RF02953	train	5
RF02954	test	5
RF02955	val	87
RF02957	test	369
RF02958	val	568
RF02959	val	29
RF02960	val	152
RF02961	val	37
RF02962	test	71
RF02963	train	28
RF02964	train	214
RF02965	test	334
RF02966	test	85
RF02967	test	261
RF02968	val	452
RF02969	val	366
RF02971	test	19
RF02972	train	86
RF02973	train	4
RF02974	val	10
RF02975	test	752
RF02976	test	1
RF02977	test	146
RF02978	train	17
RF02980	val	3
RF02981	val	60
RF02982	test	135
RF02983	train	23
RF02984	train	134
RF02985	train	32
RF02986	train	88
RF02987	train	1417
RF02989	val	103
RF02990	val	20
RF02991	val	35
RF02992	test	172
RF02993	val	157
RF02994	val	43
RF02995	train	39
RF02996	val	2100
RF02999	test	505
RF03000	train	11
RF03001	test	93
RF03002	test	10
RF03003	test	224
RF03004	test	13
RF03005	test	108
RF03006	test	38
RF03007	test	7
RF03008	val	59
RF03009	test	43
RF03010	test	8
RF03011	val	70
RF03012	val	11
RF03013	train	140
RF03014	val	111
RF03015	test	536
RF03016	val	52
RF03017	train	45
RF03018	test	217
RF03019	val	99
RF03020	val	84
RF03021	val	99
RF03022	val	38
RF03023	test	33
RF03024	test	6
RF03025	val	35
RF03026	val	765
RF03027	val	68
RF03028	test	56
RF03029	val	1
RF03030	val	8
RF03031	val	325
RF03032	train	683
RF03033	val	69
RF03034	val	722
RF03035	val	42
RF03036	train	99
RF03037	test	45
RF03038	val	91
RF03039	train	207
RF03040	test	106
RF03041	val	192
RF03042	test	34
RF03043	test	8
RF03044	test	259
RF03045	test	87
RF03046	train	75
RF03047	test	12
RF03048	train	5
RF03050	val	12
RF03052	val	55
RF03054	val	877
RF03056	test	28
RF03057	val	1293
RF03058	test	1111
RF03059	val	322
RF03060	val	259
RF03061	val	19
RF03062	train	71
RF03063	val	850
RF03064	val	1422
RF03065	val	8
RF03066	val	13
RF03067	val	2922
RF03068	val	112
RF03069	train	1070
RF03070	val	96
RF03071	train	399
RF03072	test	2245
RF03074	test	937
RF03075	train	326
RF03076	val	970
RF03077	test	245
RF03078	val	1601
RF03079	test	248
RF03080	val	28
RF03081	train	2632
RF03082	val	106
RF03085	test	387
RF03086	val	714
RF03087	test	226
RF03088	train	1
RF03090	test	3
RF03091	val	1
RF03093	val	26
RF03094	val	4
RF03097	train	6
RF03098	train	4
RF03100	val	3
RF03101	train	4
RF03104	val	2
RF03105	train	1
RF03106	val	9
RF03108	train	38
RF03109	val	30
RF03111	test	19
RF03112	val	87
RF03114	test	1
RF03115	test	62
RF03116	train	30
RF03117	train	15
RF03118	train	2
RF03119	train	7
RF03120	train	7
RF03121	train	26
RF03122	train	18
RF03123	train	5
RF03124	train	7
RF03125	train	5
RF03126	test	97
RF03127	test	621
RF03128	test	82
RF03129	train	91
RF03130	val	238
RF03131	val	71
RF03132	val	747
RF03133	val	61
RF03134	test	77
RF03135	train	474
RF03136	train	3032
RF03137	val	109
RF03138	test	168
RF03139	val	156
RF03140	val	137
RF03141	test	233
RF03142	val	667
RF03143	train	355
RF03144	test	202
RF03145	test	3
RF03146	val	14
RF03147	train	30
RF03148	test	69
RF03149	val	1
RF03150	train	1
RF03151	val	319
RF03152	test	4
RF03154	test	10
RF03155	train	966
RF03156	test	295
RF03157	val	727
RF03158	val	1677
RF03159	train	7
RF03160	test	5360
RF03162	train	1046
RF03163	train	1679
RF03164	test	22
RF03165	val	510
RF03166	test	1435
RF03167	test	9003
RF03168	test	6731
RF03169	test	2022
RF03170	test	702
RF03171	train	2
RF03172	train	32
RF03173	train	15
RF03174	train	41
RF03175	train	50
RF03176	test	52
RF03177	train	1
RF03178	train	4
RF03179	train	14
RF03180	train	16
RF03181	train	23
RF03182	train	8
RF03183	train	7
RF03184	train	9
RF03185	train	11
RF03186	train	112
RF03187	train	15
RF03188	train	19
RF03189	train	129
RF03190	train	3
RF03191	train	7
RF03192	train	14
RF03193	train	29
RF03194	train	14
RF03195	train	9
RF03196	train	14
RF03197	train	45
RF03198	train	10
RF03199	train	14
RF03200	train	2
RF03201	train	23
RF03202	train	13
RF03203	train	12
RF03204	train	13
RF03205	train	25
RF03206	train	12
RF03207	train	13
RF03208	train	273
RF03209	train	31
RF03210	train	3
RF03211	train	5
RF03212	train	76
RF03213	train	18
RF03215	train	15
RF03216	train	2
RF03217	train	8
RF03218	train	75
RF03219	train	8
RF03220	train	4
RF03221	train	9
RF03222	train	17
RF03223	train	2
RF03224	train	22
RF03225	train	41
RF03226	train	6
RF03227	train	83
RF03228	test	11
RF03229	train	39
RF03230	train	2
RF03231	train	7
RF03232	train	89
RF03233	train	2
RF03234	train	2
RF03235	train	8
RF03236	train	9
RF03237	train	23
RF03238	train	5
RF03239	train	3
RF03240	train	320
RF03242	train	58
RF03243	train	6
RF03244	train	57
RF03246	train	3
RF03247	train	52
RF03248	train	18
RF03249	train	17
RF03251	train	22
RF03252	train	2
RF03253	train	10
RF03254	val	15
RF03255	train	117
RF03256	train	15
RF03257	train	4
RF03258	train	8
RF03259	train	2
RF03260	train	10
RF03262	train	4
RF03263	train	2
RF03264	train	2
RF03265	train	191
RF03266	train	6
